CID;Nome do CID;Frequência;Significado Completo;Comorbidades Relacionadas
9B77;Doença de Eales;1;Doença de Eales é uma vasculopatia retiniana que se apresenta como um estágio inflamatório com periflebite retiniana afetando especialmente a retina periférica, em seguida um estágio isquêmico com esclerose das veias retinais e finalmente um estágio proliferativo caracterizado por neovascularização, hemorragia e descolamento retiniano.;9B73.3 - Descolamento seroso da retina (1x) | NA06.6 - Lesões traumáticas da retina (1x) | 9B78.9 - Atrofia retiniana (1x)
5B55.3;Deficiência de vitamina A com xerose da córnea;1;Clinicamente, a córnea desenvolve xerose clássica, uma aparência turva, sem brilho e seca, primeiro aparente perto do limbo inferior. Muitas crianças têm lesões pontilhadas superficiais características nos aspectos nasais inferiores da córnea que se coram brilhantemente com fluoresceína. No início da doença, eles são visíveis apenas por meio de um exame com lâmpada de fenda. Com a doença mais grave, as lesões pontilhadas tornam-se mais numerosas e espalham-se para cima sobre a córnea central, e o estroma corneano torna-se edematoso. Placas espessas e queratinizadas semelhantes à mancha de Bitot podem se formar na superfície da córnea. Frequentemente, são mais densos na zona interpalpebral. Com o tratamento, essas placas se desprendem, às vezes deixando uma erosão superficial que cicatriza rapidamente. A xerose da córnea responde com 2 a 5 dias de terapia com vitamina A e a córnea recupera sua aparência normal em 1 a 2 semanas.;9B73.3 - Descolamento seroso da retina (1x) | NA06.6 - Lesões traumáticas da retina (1x) | 9B78.9 - Atrofia retiniana (1x)
NA06.82;Trauma ocular fechado, unilateral;1;;9B73.3 - Descolamento seroso da retina (1x) | NA06.6 - Lesões traumáticas da retina (1x) | 9B78.9 - Atrofia retiniana (1x)
8D64.2;Hidrocefalia ex-vácuo;1;Hidrocefalia ex-vácuo ocorre quando há dano ao cérebro causado por acidente vascular cerebral, lesão ou radiação, e pode haver um encolhimento real do parênquima cerebral. Embora exista mais LCR do que o normal, a pressão do LCR em si é normal na hidrocefalia ex-vácuo.;8B24 - Encefalopatia hipóxico-isquêmica (1x) | CA23.0 - Asma alérgica (1x) | 8D24.9 | Descrição: Representação de doença CID-11: Edema peripalpebral bilateral. Definição: É um acúmulo excessivo de fluido nos espaços extracelulares das pálpebras. - N/A (1x)
MF33;Sintoma ou queixa pré-menstrual;1;Um sintoma idiopático da síndrome pré-menstrual que afeta mulheres e é idiopático. Caracterizado por sintomas emocionais, físicos ou comportamentais cíclicos, como alterações de humor, alterações psicológicas, retenção de líquidos, alterações neurológicas, alterações gastrointestinais, sensação de peso pélvico ou alterações dermatológicas que afetam mulheres na fase lútea do ciclo menstrual e que interferem com o estilo de vida da pessoa.;9A03.2 - Ectrópio da pálpebra (1x)
9A03.2;Ectrópio da pálpebra;1;A dobra para fora (eversão) da margem da pálpebra, resultando na exposição da conjuntiva palpebral;MF33 - Sintoma ou queixa pré-menstrual (1x)
NA20;Traumatismo superficial do pescoço;1;;QA8Y - Outras circunstâncias especificadas associadas a outros aspectos do cuidado influenciando no episódio de atenção, sem lesão ou dano (1x)
BC02.3Z;Anormalidade adquirida da valva neo-aórtica de origem pulmonar, não especificada;1;;MC84 - Dor cardiovascular (1x) | CA22.0 - Doença pulmonar obstrutiva crônica com exacerbação aguda, não especificada (1x) | BC43.6 - Cardiomiopatia ventricular arritmogênica (1x)
2E64.00;Doença de Bowen da pele;1;Carcinoma de células escamosas intraepidérmico devido a fatores predisponentes, incluindo infecção crônica pelo papilomavírus humano, ingestão de arsênico, radiação ionizante e imunossupressão crônica.;EK90.0 - Ceratose actínica (1x)
200000000000.0;Não encontrado;1;;2B68 - Neoplasias malignas das glândulas submandibulares ou sublinguais (1x)
XA9M74;Cavidade abdominal;1;;ND36 - Outros traumatismos envolvendo regiões múltiplas do corpo, não classificados em outra parte (1x)
8E60;Vazamento após derivação ventricular;1;;MC82.1 - Parada cardíaca com bradicardia (1x)
QA8Y;Outras circunstâncias especificadas associadas a outros aspectos do cuidado influenciando no episódio de atenção, sem lesão ou dano;1;;NA20 - Traumatismo superficial do pescoço (1x)
BD40.0;Aterosclerose de membro inferior;1;Condição em que a parede arterial fica espessada como resultado do acúmulo de materiais gordurosos, como o colesterol, do membro inferior.;NB90.7 - Lesão de múltiplos vasos sanguíneos ao nível do abdome, região lombar ou pelve (1x)
XM1M61;Ganciclovir;1;;1D82 - Doença por citomegalovírus (1x) | BC43.7 - Cardiomiopatia diabética (1x)
EH3Y;Outras afecções da pele específicas do período perinatal, especificadas;1;;CB41.0 - Insuficiência respiratória aguda (1x)
BC63.4;Bloqueio de ramo esquerdo;1;"Transtorno do sistema de condução atrioventricular em que a duração do QRS é maior ou igual a 120 ms em adultos, maior que 100 ms em crianças de 4 a 16 anos de idade e maior que 90 ms em crianças menores de 4 anos; há um padrão QS ou rS na derivação V1 e uma onda R larga e empastada nas derivações I e V6.";R06.0 - N/A (1x) | MB23.H - Crise de pânico (1x) | AB31.6 - Paroxismia vestibular (1x)
5A60.2;Síndrome da secreção inapropriada do hormônio antidiurético;1;Síndrome da secreção inapropriada do hormônio antidiurético (ADH)- SIADH- é caracterizada pela secreção contínua de ADH causando hiponatremia, hiposmolalidade e natriurese. A prevelência exata é desconhecida. A doença tem sido descrita em grupos de todas as idades. SIADH é frequentemente associada a tumores, doenças pulmonares, transtornos do sistema nervoso central ou exposição a drogas. Ocasionalmente ela é encontrada em pacientes com insuficiência adrenal, tireoidiana ou hipofisária. O transtorno é causado por mutações com ganho de função em genes que codificam o receptor de vasopressina V2. Restrição hídrica é o tratamento mais comum. O resultado está relacionado aos distúrbios subjacentes e associados.;JA00.16 - Aborto induzido, completo ou não especificado, complicado por hemorragia excessiva ou tardia (1x) | 60000.0 - N/A (1x) | BD10 - Insuficiência cardíaca congestiva (1x)
8A42;Encefalomielite aguda disseminada;1;Encefalomielite disseminada aguda é transtorno desmielinizante do sistema nervoso central. Usualmente ocorre subsequente a infecção viral ou bacteriana aguda ou vacinação, com início abrupto de irritabilidade e letargia após período prodrômico de 1-4 semanas. Os sintomas principais incluem febre, cefaleia, tontura, alterações do estado mental, convulsões e coma. Fraqueza, vômitos, perda de peso ponderal, rigidez de nuca, ataxia, neurite óptica bilateral e delirium são comuns. Envolvimento de sistema nervoso periférico (paralisia de um único membro ou hemiplegia) podem ocorrer.;CB41.0 - Insuficiência respiratória aguda (1x) | 1C1C.1 - Síndrome de Waterhouse-Friderichsen (1x) | DB33.20 - Proctite ou colite infantil induzida por proteína de alimentos (1x)
60000.0;Não encontrado;1;;JA00.16 - Aborto induzido, completo ou não especificado, complicado por hemorragia excessiva ou tardia (1x) | BD10 - Insuficiência cardíaca congestiva (1x) | 5A60.2 - Síndrome da secreção inapropriada do hormônio antidiurético (1x)
MC1A;Opacidades vítreas visíveis;1;Pontos flutuantes são manchas ou formas escuras que parecem flutuar na frente da imagem da retina.;9B73.3 - Descolamento seroso da retina (1x) | NA06.6 - Lesões traumáticas da retina (1x) | 9B78.9 - Atrofia retiniana (1x)
NB90.0Y;Outra lesão especificada da aorta abdominal;1;;
JA00.16;Aborto induzido, completo ou não especificado, complicado por hemorragia excessiva ou tardia;1;Condição causada por intervenções cirúrgicas, farmacológicas, mecânicas, artificiais ou outras intervenções não especificadas e complicada por sangramento excessivo ou tardio. Esta condição é caracterizada pela interrupção da gravidez e morte embrionária ou fetal intencional com expulsão completa ou não especificada dos produtos da concepção do útero antes que o feto seja viável.;60000.0 - N/A (1x) | BD10 - Insuficiência cardíaca congestiva (1x) | 5A60.2 - Síndrome da secreção inapropriada do hormônio antidiurético (1x)
NA05.9;Não encontrado;1;;BA43 - Trombose coronária que não resulta em infarto do miocárdio (1x) | NB30.0Z - Lesão da aorta torácica, não especificada (1x)
QA7A9.MA | Descrição: Representação de doença CID-11: Estilo de vida sedentário. Definição:;Não encontrado;1;;BC81.30 - Fibrilação atrial paroxística (1x) | 5B5A.0 - Beribéri (1x)
BB63.0;Estenose mitral reumática com insuficiência;1;Estenose mitral e insuficiência mitral ocorrem em pacientes com cardiopatia reumática.;CB01 - Edema pulmonar (1x) | BA01 - Doença cardíaca hipertensiva (1x) | BA40.Y - Outra angina pectoris especificada (1x)
PK91.Y;Outros dispositivos, implantes ou enxertos cardiovasculares especificados associados à lesão ou dano;1;;CB01 - Edema pulmonar (1x) | BA01 - Doença cardíaca hipertensiva (1x) | BA40.Y - Outra angina pectoris especificada (1x)
M34.7;Não encontrado;1;;
9B78.9;Atrofia retiniana;1;Grupo de doenças genéticas e que se caracteriza pela degeneração bilateral da retina, causando perda progressiva da visão culminando em cegueira.;9B73.3 - Descolamento seroso da retina (1x) | NA06.6 - Lesões traumáticas da retina (1x) | MC1A - Opacidades vítreas visíveis (1x)
1C1C.1;Síndrome de Waterhouse-Friderichsen;1;"Síndrome caracterizada por insuficiência adrenal devida a sangramento nas glândulas suprarrenais (a maioria bilateral mas algumas vezes unilateral), comumente causada por uma infecção por meningococo (Neisseria meningitidis). No entanto, isto também pode ser causado por infecção por outras bactérias como Streptococcus pneumoniae ou Haemophilus influenzae ou até por algumas infecções virais graves.
Essa síndrome pode se manifestar com febre, calafrios, vômitos, mialgia ou erupção cutânea, com progressão para coagulação intravascular disseminada. A transmissão de infecções subjacentes se dá por contato direto ou transmissão por gotículas.";8A42 - Encefalomielite aguda disseminada (1x) | CB41.0 - Insuficiência respiratória aguda (1x) | DB33.20 - Proctite ou colite infantil induzida por proteína de alimentos (1x)
;Não encontrado;1;;
FA70.0;Cifose;1;Esta é uma curvatura da coluna vertebral que causa um arqueamento ou arredondamento das costas, o que leva a uma postura corcunda ou curvada.;
5A00.03;Hipotireoidismo congênito transitório;1;Hipotireoidismo congênito transitório é definido com uma disfunção tireoidiana transitória com discreta elevação do hormônio tiroestimulante (TSH) e baixos níveos de T4 livre que retornam ao normal espontaneamente ou após muitos meses de terapia com levotiroxina. Este transtorno é devido a várias causas como deficiência de iodo, exposição a compostos contendo iodo, passagem transplacentária de anticorpos maternos bloqueadores e disormonogênese.;BA01 - Doença cardíaca hipertensiva (1x) | BC43.0 - Cardiomiopatia dilatada (1x) | BA51 - Miocardiopatia isquêmica (1x)
GC40.50;Incontinência de esforço associada a prolapso de órgão pélvico;1;Condição do sistema urinário, causada por fraqueza dos músculos do assoalho pélvico e aumento da pressão intra-abdominal, causando pressão na bexiga. Esta condição é caracterizada por uma mudança na posição da uretra, permitindo que a urina saia facilmente, e incontinência urinária ao tossir, rir, espirrar, praticar exercícios ou outras atividades físicas que aumentem a pressão intra-abdominal.;FB51.4 - Fibrose retroperitoneal (1x) | MF50.2 - Incontinência urinária (1x)
FB51.4;Fibrose retroperitoneal;1;Fibrose retroperitoneal (FRP) é uma doença caracterizada pela formação de extensa proliferação de tecido fibroso no retroperitônio, resultando em encarceramento e obstrução de estruturas retroperitoneais, particularmente os ureteres. A FRP pode ser classificada em primária (idiopática), o que significa que sua causa não é conhecida, ou secundária. No entanto, sua associação com várias condições imunomediadas e sua resposta ao tratamento imunossupressor têm levado á especulação de etiologia autoimune para a FRP idiopática. Um terço dos casos são secundários a neoplasias malignas, medicamentos, traumatismo e algumas infecções.;GC40.50 - Incontinência de esforço associada a prolapso de órgão pélvico (1x) | MF50.2 - Incontinência urinária (1x)
DC11.2;Cálculo de vesícula biliar ou ducto cístico com colangite;1;;EF40 - Vasculite ou capilarite envolvendo a pele (1x) | 6C46.3 - Intoxicação por estimulantes, incluindo anfetaminas, metanfetamina ou metcatinona (1x) | 8A.2 - N/A (1x)
BC81.31;Fibrilação atrial persistente;1;Fibrilação atrial (FA) que é sustentada por mais de sete dias, ou durando menos de sete dias, mas necessitando de cardioversão farmacológica ou elétrica para restaurar o ritmo sinusal normal.;BA01 - Doença cardíaca hipertensiva (1x) | BA40.Y - Outra angina pectoris especificada (1x)
5A0.9 (Diabetes mellitus);Não encontrado;1;;2C25.1 - Carcinoma de células pequenas de brônquio ou pulmão (1x) | NE0.1A - N/A (1x)
FA01.0;Osteoartrite primária do joelho;1;Osteoartrite primária ocorrendo em uma articulação do joelho de outra forma intacta, envolvendo degeneração relacionada geneticamente, relacionada à idade ou relacionada ao uso com alterações anatômicas microscópicas e macroscópicas, que, em última análise, limitam o movimento em uma ou mais articulações. As alterações na articulação incluem aumento da perda de cartilagem e transformação óssea, como esclerose, formação de osteófitos e cistos, bem como potenciais alterações inflamatórias em estruturas de tecido mole circundantes.;QA30.1 - Pessoa em contato com os serviços de saúde para tecnologias de reprodução assistida (1x)
2D10.4;Carcinoma medular da glândula tireoide;1;Carcinoma neuroendócrino originado das células C da glândula tireoide. Está intimamente associado a múltiplas síndromes de neoplasia endócrina. Aproximadamente 10% a 20% dos carcinomas medulares da tireoide são familiares. Os pacientes geralmente apresentam um nódulo da tireoide que é indolor e firme. Na maioria dos casos, o envolvimento nodal/ganglionar está presente no diagnóstico.;BD54 - Úlcera de pé diabético (1x) | 4A44.B - Vasculite leucocitoclástica (1x) | 5A50 - Hipoparatireoidismo (1x)
5A50;Hipoparatireoidismo;1;Hipoparatireoidismo é uma condição com insuficiente ação biológica do hormônio da paratireoide devido a secreção prejudicada ou refratariedade dos tecidos alvos ao hormônio paratireoidiano.;BD54 - Úlcera de pé diabético (1x) | 4A44.B - Vasculite leucocitoclástica (1x) | 2D10.4 - Carcinoma medular da glândula tireoide (1x)
8A.2;Não encontrado;1;;EF40 - Vasculite ou capilarite envolvendo a pele (1x) | DC11.2 - Cálculo de vesícula biliar ou ducto cístico com colangite (1x) | 6C46.3 - Intoxicação por estimulantes, incluindo anfetaminas, metanfetamina ou metcatinona (1x)
4A44.B;Vasculite leucocitoclástica;1;"Vasculite leucocitoclástica (vasculite de hipersensibilidade; angeíte de hipersensibilidade) é um termo histopatológico comumente usado para descrever uma vasculite de pequenos vasos. Pode ser localizada na pele ou pode se manifestar em outros órgãos. Os órgãos internos mais comumente afetados incluem as articulações, o trato gastrointestinal e os rins. O prognóstico é bom na ausência de envolvimento interno. A vasculite leucocitoclástica tem muitas causas, incluindo infecções, drogas e doenças autoimunes sistêmicas, mas nenhuma causa é identificada em até 50% dos pacientes com essa condição.";BD54 - Úlcera de pé diabético (1x) | 5A50 - Hipoparatireoidismo (1x) | 2D10.4 - Carcinoma medular da glândula tireoide (1x)
90.0;Não encontrado;1;;
BC63.30;Não encontrado;1;;
FB32.1;Ruptura muscular espontânea;1;Esta é uma condição em que ocorre um afastamento ou ruptura entre fibras musculares e outras fibras musculares, tendões ou fáscias, na ausência de trauma;
QA30.1;Pessoa em contato com os serviços de saúde para tecnologias de reprodução assistida;1;;FA01.0 - Osteoartrite primária do joelho (1x)
NE0.1A;Não encontrado;1;;2C25.1 - Carcinoma de células pequenas de brônquio ou pulmão (1x) | 5A0.9 (Diabetes mellitus) - N/A (1x)
2C25.1;Carcinoma de células pequenas de brônquio ou pulmão;1;Subtipo altamente agressivo de carcinoma de pulmão caracterizado pela presença de células pequenas malignas e necrose. A doença metastática geralmente está presente no momento do diagnóstico.;NE0.1A - N/A (1x) | 5A0.9 (Diabetes mellitus) - N/A (1x)
6D81;Demência devida a doença cerebrovascular;1;Demência devido a dano ao parênquima cerebral por doença cerebrovascular (isquêmica ou hemorrágica). O início dos déficits cognitivos está relacionado temporalmente a um ou mais eventos vasculares. O declínio cognitivo é tipicamente mais evidente na velocidade de processamento da informação, atenção complexa, e funcionamento frontal-executivo. Há evidência pela história, exame físico e neuroimagem, de presença de doença cerebrovascular considerada suficiente para explicar os déficits neurocognitivos.;7A42.4 - Hipoventilação relacionada ao sono devida a medicamento ou substância (1x) | 1D03 - Abscesso infeccioso do sistema nervoso central (1x) | 8B11.22 - Acidente vascular cerebral isquêmico devido à embolia paradoxal (1x)
DB30.0;Intussuscepção do intestino grosso;1;A intussuscepção ocorre quando um segmento do intestino se invagina (como um telescópio) no intestino distal adjacente, levando à obstrução e possivelmente lesão isquêmica. A intussuscepção do cólon é uma condição relativamente incomum, que é mais frequente nos primeiros anos de vida. Existem três variedades principais: cecocólica, colocólica e sigmoidoretal.;FA72.3 - Fratura vertebral por fadiga (1x) | FB32.20 - Rabdomiólise idiopática (1x)
1D03;Abscesso infeccioso do sistema nervoso central;1;Processo supurativo focal do parênquima cerebral, do espaço epidural ou subdural intracraniano ou espinal e, menos comumente, do parênquima da medula espinal. O processo supurativo é mais comumente associado à infecção bacteriana e, ocasionalmente, à infecção fúngica, protozoária ou parasitária. Os abscessos cerebrais se desenvolvem mais comumente por disseminação a partir de um local infectado contíguo (ouvido, seios paranasais, células aéreas da mastoide, dentes), osteomielite craniofacial e após traumatismo cranioencefálico aberto ou procedimento neurocirúrgico prévio. A disseminação hematogênica de infecções pulmonares purulentas, endocardite bacteriana ou outros locais de infecção também pode causar abscesso cerebral. Pacientes com abscesso intracraniano apresentam combinações variáveis ​​de cefaleia, estado mental alterado, déficits focais e convulsões. Febre pode estar presente. Pacientes com abscesso intraespinal apresentam graus variáveis ​​de paraparesia ou quadriparesia, comprometimento sensorial abaixo do nível da lesão, função esfincteriana alterada e dor nas costas. O diagnóstico é feito por tomografia computadorizada ou ressonância nuclear magnética e pode ser confirmado por exame histológico e cultura do material do abscesso após drenagem neurocirúrgica. A punção lombar geralmente é contraindicada.;6D81 - Demência devida a doença cerebrovascular (1x) | 7A42.4 - Hipoventilação relacionada ao sono devida a medicamento ou substância (1x) | 8B11.22 - Acidente vascular cerebral isquêmico devido à embolia paradoxal (1x)
DD90.0;Globus;1;Globus é uma sensação não dolorosa persistente ou intermitente de um caroço ou corpo estranho na garganta não relacionado à deglutição, sem transtorno estrutural ou motor da faringe e/ou esôfago, muitas vezes acompanhado de ansiedade aguda ou conflitos emocionais.;VV3Y - Outras funções dos sistemas cardiovascular, hematológico, imunológico e respiratório, especificadas (1x) | 6e+86 - N/A (1x) | 8D8A.2 - Anisocoria episódica (1x)
6e+86;Não encontrado;1;;VV3Y - Outras funções dos sistemas cardiovascular, hematológico, imunológico e respiratório, especificadas (1x) | DD90.0 - Globus (1x) | 8D8A.2 - Anisocoria episódica (1x)
Z91.81;Não encontrado;1;;
9A03.0Y;Outra blefaroptose especificada;1;;BC81.2 - Taquicardia atrial macrorreentrante (1x) | CA23.00 - Asma alérgica com exacerbação (1x) | MB23.H - Crise de pânico (1x)
IC10.9;Não encontrado;1;;
2.6;Não encontrado;1;;
8B00.Z;Hemorragia intracerebral, localização não especificada;1;;6D81 - Demência devida a doença cerebrovascular (1x) | 7A42.4 - Hipoventilação relacionada ao sono devida a medicamento ou substância (1x) | 1D03 - Abscesso infeccioso do sistema nervoso central (1x)
FB56.1;Corpo estranho residual no tecido mole;1;;6D81 - Demência devida a doença cerebrovascular (1x) | 7A42.4 - Hipoventilação relacionada ao sono devida a medicamento ou substância (1x) | 1D03 - Abscesso infeccioso do sistema nervoso central (1x)
DA51;Duodenite;1;Duodenite é uma lesão da mucosa duodenal que envolve dano epitelial e inflamação da mucosa, exceto por qualquer defeito epitelial. A duodenite é causada por vários fatores como elevada secreção ácida, agentes infecciosos, drogas, agentes químicos e outros. A metaplasia gástrica é considerada resposta adaptativa à hiperacidez. Helicobacter pylori pode colonizar o epitélio da metaplasia gástrica, e induzir a duodenite. A duodenite é diagnosticada por histopatologia e/ou endoscopia. A duodenite é classificada como fase aguda e crônica conforme o curso clínico.;DB32.0 - Pseudo-obstrução do cólon (1x) | 6E63 - Síndrome de ansiedade secundária (1x) | 5A00.20 - Hipotireoidismo devido a medicamentos ou outras substâncias exógenas (1x)
NB90.5;Lesão de vaso sanguíneo renal;1;;QA7Y - Outras circunstâncias especificadas associadas a exposição a uma droga, medicamento ou substância biológica influenciando no episódio de atenção sem lesão ou dano (1x) | FA25 - Gota (1x) | DE12.1 - Disfunção de gastrostomia (1x)
FA38.1Y;Outra artropatia neuropática especificada;1;;FA38.1 - Artropatia neuropática (1x) | VW21 - Cuidado com partes do corpo (1x)
ECG14.0;Não encontrado;1;;MD81.3 - Abdome agudo (1x) | MD81 - Dor abdominal ou pélvica (1x)
CB26;Hemotórax;1;Hemotórax é a presença de sangue com ou sem ar no espaço pleural. A causa mais comum é o traumatismo torácico. O hemotórax deve ser considerado presente quando o hematócrito do líquido pleural for maior que a metade do do sangue periférico. Numerosas localizações de sangramento podem ser responsáveis pelo hemotórax, incluindo laceração pulmonar, laceração de vaso intercostal e ruptura de adesão pleural.;6D81 - Demência devida a doença cerebrovascular (1x) | 7A42.4 - Hipoventilação relacionada ao sono devida a medicamento ou substância (1x) | 1D03 - Abscesso infeccioso do sistema nervoso central (1x)
90000000000.0;Não encontrado;1;;9C61.34 - Glaucoma secundário de ângulo fechado devido a invasão por células epiteliais (1x) | 9A94.1 - Síndrome da íris flácida (1x) | 9A10.3 - Hiperlacrimação (1x)
1F6D;Toxocaríase;1;"Condição causada por uma infecção pelo verme parasita Toxocara. Em infecções oculares, esta condição é caracterizada por perda de visão ou inflamação do olho; em infecções viscerais, esta condição é caracterizada por febre, tosse, fígado aumentado ou pneumonia. Essa condição também pode ser assintomática. A transmissão ocorre pela via fecal-oral por meio da ingestão de alimentos, água ou solo que contenham ovos de Toxocara (contaminados por fezes de um cão ou gato infectados). A confirmação é feita pela detecção de anticorpos contra o Toxocara em uma amostra de sangue.";9C61.34 - Glaucoma secundário de ângulo fechado devido a invasão por células epiteliais (1x) | 9A94.1 - Síndrome da íris flácida (1x) | 9A10.3 - Hiperlacrimação (1x)
9C61.34;Glaucoma secundário de ângulo fechado devido a invasão por células epiteliais;1;Invasão de células epiteliais é uma condição subsequente a traumatismo ocular aberto ou cirurgia em que células epiteliais conjuntivais ou corneanas ganham acesso à câmara anterior e crescem além da malha trabecular com subsequente elevação da pressão ocular e dano ao nervo óptico.;9A94.1 - Síndrome da íris flácida (1x) | 9A10.3 - Hiperlacrimação (1x) | 1F6D - Toxocaríase (1x)
ICD-11: BA51;Não encontrado;1;;5A61.40 - Hipotireoidismo central adquirido (1x)
ED40.3;Não encontrado;1;;
MC13;Epífora;1;Transbordamento de lágrimas para o rosto. Sinal ou condição clínica que consiste em drenagem insuficiente do filme lacrimal dos olhos, em que as lágrimas escorrem pelo rosto ao invés de através do sistema nasolacrimal.;9A04.0 - Triquíase sem entrópio (1x) | 9A10.3 - Hiperlacrimação (1x) | 9B10.02 - Catarata relacionada à idade madura (1x)
3B14;Outra deficiência hereditária de fator da coagulação com tendência hemorrágica;1;Qualquer doença causada por mutações geneticamente herdadas levando à falta de fatores da coagulação no sangue não classificada em outra parte. Essas doenças são caracterizadas pela ocorrência aumentada de hemorragias e equimoses, pois o sangue não coagula adequadamente para controlar o sangramento. A confirmação é feita pela identificação de mutações por testagem genética.;ME86.E - Sintoma ou queixa do punho (1x) | ME24.A5 - Hematêmese (1x)
BC10.2;Não encontrado;1;;DB32.20 - Megacólon tóxico (1x) | GB71.0 - Cálculo na bexiga (1x)
DB32.20;Megacólon tóxico;1;"Megacólon tóxico é uma forma aguda de distensão do cólon, caracterizada por dilatação acentuada do cólon, acompanhada por distensão abdominal (inchaço) e, às vezes, febre, dor abdominal ou choque. ""Tóxico"" significa que esta complicação ocorre com inflamação. O megacólon tóxico é uma rara dilatação do intestino grosso com risco de vida, que evolui em poucos dias, ocorrendo como complicação de doença inflamatória intestinal, tais como colite ulcerativa e doença de Crohn, ou colite de origem infecciosa.";BC10.2 - N/A (1x) | GB71.0 - Cálculo na bexiga (1x)
FB81;Osteonecrose;1;Osteonecrose é o termo médico usado para a morte do tecido ósseo que ocorre quando o suprimento sanguíneo para o osso é interrompido por algum motivo. Os médicos algumas vezes se referem a esta condição como necrose avascular, necrose asséptica ou necrose isquêmica do osso.;CB21.1 - Outro pneumotórax espontâneo (1x) | 5B91.0 - Hipercalcemia (1x)
ED92.0;Hidradenite supurativa;1;Hidradenite supurativa é uma doença crônica caracterizada por nódulos e abscessos recorrentes, dolorosos, profundos e arredondados devidos à oclusão folicular com inflamação secundária e destruição do aparelho pilossebáceo-apócrino e extensão para o tecido subcutâneo adjacente. Cicatrizes hipertróficas subsequentes e supuração da pele com glândulas apócrinas (axilas, virilhas, regiões perianal e perineal) são as principais manifestações clínicas. Infecção e influência hormonal foram descritas, mas não são o fator patogênico primário: a etiologia exata permanece desconhecida. Obesidade é comum e está associada a doença mais grave. As principais complicações são fístulas, artropatia, carcinoma e amiloidose.;MF95 - Mioglobinúria (1x) | 8A45.2Z - Transtornos da substância branca devidos a anormalidades vasculares ou isquemia, não especificados (1x) | CA23.00 - Asma alérgica com exacerbação (1x)
BC74.33;Não encontrado;1;;8D8A.2 - Anisocoria episódica (1x) | FA80.Y - Outra degeneração especificada de disco intervertebral (1x)
1F57.3;Doença ocular por Toxoplasma gondii;1;A coriorretinite ou toxoplasmose ocular é uma manifestação relativamente comum da infecção por T. gondii. A toxoplasmose ocular ocorre quando cistos depositados na retina ou próximos a ela se tornam ativos, produzindo taquizoítos. A retinite necrosante focal é a lesão característica, mas cicatrizes retinianas de reativação prévia estão tipicamente presentes.;9A61.3 - Cicatrizes da conjuntiva (1x)
9A61.3;Cicatrizes da conjuntiva;1;Cicatrizes da mucosa que reveste a superfície interna da pálpebra e a superfície exposta do globo ocular e que ocorrem devido a várias razões, como traumatismo, infecção ou alergia.;1F57.3 - Doença ocular por Toxoplasma gondii (1x)
5e+30;Não encontrado;1;;
R62.8;Não encontrado;1;;3A20.4 - Anemia hemolítica aloimune (1x) | FB80.A - Fratura de estresse, não classificada em outra parte (1x) | 9000000000000.0 - N/A (1x)
CA40.0;Pneumonia bacteriana;1;Doença do sistema pulmonar, causada por uma infecção de origem bacteriana. Esta doença é caracterizada por febre, letargia, dor de cabeça, mialgia, vômitos ou tosse. A transmissão ocorre por inalação de secreções respiratórias infectadas. A confirmação é feita por identificação da origem bacteriana em uma amostra de escarro.;3A20.4 - Anemia hemolítica aloimune (1x) | FB80.A - Fratura de estresse, não classificada em outra parte (1x) | 9000000000000.0 - N/A (1x)
6C49.3;Intoxicação por alucinógenos;1;Intoxicação por alucinógenos é uma condição transitória clinicamente significativa, que se desenvolve durante ou logo após o consumo de alucinógenos, caracterizada por perturbações em consciência, cognição, percepção, afeto, comportamento ou coordenação. Essas perturbações são causadas pelos efeitos farmacológicos conhecidos dos alucinógenos e sua intensidade está intimamente relacionada à quantidade de alucinógenos consumida. Têm duração limitada, e diminuem à medida que o alucinógeno é eliminado do corpo. A apresentação pode incluir alucinações, ilusões, alterações perceptivas como despersonalização, desrealização, ou sinestesias (fusão de sentidos, como um estímulo visual evocando um cheiro), ansiedade, humor deprimido ou disfórico, ideias de referência, ideação paranoide, julgamento comprometido, palpitações, sudorese, visão turva, tremores e descoordenação. Sinais físicos podem incluir taquicardia, pressão arterial elevada, dilatação pupilar. Em casos raros, a intoxicação por alucinógenos pode facilitar ideação e comportamento suicidas.;3A20.4 - Anemia hemolítica aloimune (1x) | FB80.A - Fratura de estresse, não classificada em outra parte (1x) | 9000000000000.0 - N/A (1x)
9000000000000.0;Não encontrado;1;;3A20.4 - Anemia hemolítica aloimune (1x) | FB80.A - Fratura de estresse, não classificada em outra parte (1x) | 6C49.3 - Intoxicação por alucinógenos (1x)
FB80.A;Fratura de estresse, não classificada em outra parte;1;;3A20.4 - Anemia hemolítica aloimune (1x) | 9000000000000.0 - N/A (1x) | 6C49.3 - Intoxicação por alucinógenos (1x)
3A20.4;Anemia hemolítica aloimune;1;Doença causada por determinantes como uma transfusão de sangue que levam a uma resposta imune direcionada contra as hemácias da própria pessoa. Esta doença é caracterizada por níveis baixos de hemácias no organismo devido a destruição anormal dos glóbulos vermelhos. Esta doença pode se manifestar com palidez, fadiga ou falta de ar. A confirmação é feita pela identificação de contagem baixa de hemácias numa amostra de sangue;FB80.A - Fratura de estresse, não classificada em outra parte (1x) | 9000000000000.0 - N/A (1x) | 6C49.3 - Intoxicação por alucinógenos (1x)
